id,edge1,edge2,node1,node2,capacity,is_closed
71,142,143,102,20,49999996000,0
72,144,145,102,8,49999999000,0
73,146,147,102,31,49999999000,0
74,148,149,102,22,49999998000,0
75,150,151,102,3,49999999000,0
76,152,153,102,40,50000000000,0
77,154,155,102,22,50000000000,0
78,156,157,102,40,50000001000,0
79,158,159,102,6,50000001000,0
80,160,161,103,10,50000000000,0
81,162,163,103,6,50000000000,0
82,164,165,103,101,50000000000,0
83,166,167,103,10,50000000000,0
84,168,169,103,25,50000001000,0
85,170,171,103,6,50000001000,0
86,172,173,103,102,50000001000,0
87,174,175,103,101,50000000000,0
88,176,177,103,1,50000000000,0
89,178,179,103,15,49999999000,0
90,180,181,104,2,49999998000,0
91,182,183,104,103,49999999000,0
92,184,185,104,36,49999999000,0
93,186,187,104,18,50000000000,0
94,188,189,104,100,50000000000,0
95,190,191,104,7,50000001000,0
96,192,193,104,100,50000000000,0
97,194,195,104,100,50000001000,0
98,196,197,104,14,50000000000,0
99,198,199,104,24,49999999000,0
100,200,201,105,8,50000001000,0
101,202,203,105,104,49999999000,0
102,204,205,105,104,50000000000,0
103,206,207,105,25,49999999000,0
104,208,209,105,39,49999997000,0
105,210,211,105,25,49999999000,0
106,212,213,105,101,49999998000,0
107,214,215,105,10,49999999000,0
108,216,217,105,39,50000001000,0
109,218,219,105,32,50000000000,0
110,220,221,106,105,50000000000,0
111,222,223,106,43,50000001000,0
112,224,225,106,40,50000001000,0
113,226,227,106,31,50000000000,0
114,228,229,106,102,49999999000,0
115,230,231,106,21,50000001000,0
116,232,233,106,8,50000000000,0
117,234,235,106,32,50000000000,0
118,236,237,106,102,50000002000,0
119,238,239,106,24,50000000000,0
120,240,241,107,105,50000000000,0
121,242,243,107,103,49999999000,0
122,244,245,107,22,50000001000,0
123,246,247,107,101,50000001000,0
124,248,249,107,105,49999999000,0
125,250,251,107,19,49999998000,0
126,252,253,107,34,49999999000,0
127,254,255,107,4,49999998000,0
128,256,257,107,105,49999998000,0
129,258,259,107,13,49999998000,0
130,260,261,108,21,50000001000,0
131,262,263,108,9,49999999000,0
132,264,265,108,101,50000000000,0
133,266,267,108,4,49999999000,0
134,268,269,108,8,49999998000,0
135,270,271,108,102,49999999000,0
136,272,273,108,6,50000000000,0
137,274,275,108,32,49999999000,0
138,276,277,108,101,49999999000,0
139,278,279,108,103,50000000000,0
140,280,281,109,107,50000001000,0
141,282,283,109,43,50000000000,0
142,284,285,109,29,50000000000,0
143,286,287,109,6,50000000000,0
144,288,289,109,100,49999998000,0
145,290,291,109,3,49999998000,0
146,292,293,109,37,49999999000,0
147,294,295,109,3,49999999000,0
148,296,297,109,6,50000000000,0
149,298,299,109,32,50000000000,0
150,300,301,110,8,49999999000,0
151,302,303,110,39,50000000000,0
152,304,305,110,31,50000000000,0
153,306,307,110,1,50000000000,0
154,308,309,110,10,49999999000,0
155,310,311,110,43,49999999000,0
156,312,313,110,8,49999999000,0
157,314,315,110,101,49999999000,0
158,316,317,110,37,49999999000,0
159,318,319,110,7,50000000000,0
160,320,321,111,105,50000000000,0
161,322,323,111,31,49999999000,0
162,324,325,111,3,50000000000,0
163,326,327,111,101,50000001000,0
164,328,329,111,15,49999998000,0
165,330,331,111,101,50000000000,0
166,332,333,111,8,49999999000,0
167,334,335,111,15,49999999000,0
168,336,337,111,106,49999999000,0
169,338,339,111,43,49999998000,0
170,340,341,112,1,49999999000,0
171,342,343,112,31,50000000000,0
172,344,345,112,103,49999999000,0
173,346,347,112,2,49999999000,0
174,348,349,112,103,49999999000,0
175,350,351,112,8,49999999000,0
176,352,353,112,109,49999999000,0
177,354,355,112,24,49999999000,0
178,356,357,112,36,49999999000,0
179,358,359,112,18,49999997000,0
180,360,361,113,1,50000000000,0
181,362,363,113,112,50000001000,0
182,364,365,113,107,49999998000,0
183,366,367,113,32,49999997000,0
184,368,369,113,31,49999998000,0
185,370,371,113,104,49999999000,0
186,372,373,113,104,49999999000,0
187,374,375,113,1,49999999000,0
188,376,377,113,111,50000001000,0
189,378,379,113,6,50000001000,0
190,380,381,114,43,49999999000,0
191,382,383,114,21,50000000000,0
192,384,385,114,101,49999999000,0
193,386,387,114,113,50000001000,0
194,388,389,114,107,50000002000,0
195,390,391,114,21,50000001000,0
196,392,393,114,36,50000000000,0
197,394,395,114,4,50000000000,0
198,396,397,114,112,50000002000,0
199,398,399,114,106,50000000000,0
200,400,401,115,102,50000000000,0
201,402,403,115,32,50000001000,0
202,404,405,115,105,50000001000,0
203,406,407,115,107,50000000000,0
204,408,409,115,112,50000001000,0
205,410,411,115,110,50000001000,0
206,412,413,115,40,49999999000,0
207,414,415,115,114,50000000000,0
208,416,417,115,104,50000002000,0
209,418,419,115,40,50000001000,0
210,420,421,116,22,50000000000,0
211,422,423,116,103,50000000000,0
212,424,425,116,24,49999999000,0
213,426,427,116,112,49999999000,0
214,428,429,116,113,49999999000,0
215,430,431,116,102,49999998000,0
216,432,433,116,15,50000001000,0
217,434,435,116,114,49999999000,0
218,436,437,116,3,49999998000,0
219,438,439,116,14,49999999000,0
220,440,441,117,100,49999997000,0
221,442,443,117,4,50000000000,0
222,444,445,117,105,49999999000,0
223,446,447,117,107,50000000000,0
224,448,449,117,6,49999999000,0
225,450,451,117,113,50000000000,0
226,452,453,117,116,49999998000,0
227,454,455,117,42,50000000000,0
228,456,457,117,104,50000000000,0
229,458,459,117,2,50000001000,0
230,460,461,118,39,50000000000,0
231,462,463,118,102,49999999000,0
232,464,465,118,6,49999998000,0
233,466,467,118,36,50000001000,0
234,468,469,118,46,50000001000,0
235,470,471,118,101,50000001000,0
236,472,473,118,111,50000000000,0
237,474,475,118,2,50000000000,0
238,476,477,118,108,49999999000,0
239,478,479,118,112,50000000000,0
240,480,481,119,6,49999999000,0
241,482,483,119,109,49999998000,0
242,484,485,119,111,49999999000,0
243,486,487,119,32,49999999000,0
244,488,489,119,116,50000000000,0
245,490,491,119,36,50000000000,0
246,492,493,119,36,49999999000,0
247,494,495,119,25,50000000000,0
248,496,497,119,4,49999999000,0
249,498,499,119,17,50000000000,0
250,500,501,120,107,50000001000,0
251,502,503,120,112,49999997000,0
252,504,505,120,107,50000000000,0
253,506,507,120,43,50000000000,0
254,508,509,120,4,49999999000,0
255,510,511,120,101,49999999000,0
256,512,513,120,1,49999998000,0
257,514,515,120,10,49999999000,0
258,516,517,120,45,50000000000,0
259,518,519,120,34,49999999000,0
260,520,521,121,112,50000000000,0
261,522,523,121,113,50000002000,0
262,524,525,121,108,49999999000,0
263,526,527,121,110,50000000000,0
264,528,529,121,31,49999999000,0
265,530,531,121,10,49999999000,0
266,532,533,121,106,49999998000,0
267,534,535,121,102,50000000000,0
268,536,537,121,110,50000001000,0
269,538,539,121,116,50000000000,0
270,540,541,122,3,50000000000,0
271,542,543,122,24,49999999000,0
272,544,545,122,100,50000000000,0
273,546,547,122,6,50000000000,0
274,548,549,122,118,50000001000,0
275,550,551,122,4,49999999000,0
276,552,553,122,111,50000001000,0
277,554,555,122,104,49999999000,0
278,556,557,122,32,50000001000,0
279,558,559,122,116,50000000000,0
280,560,561,123,103,49999999000,0
281,562,563,123,122,49999999000,0
282,564,565,123,110,49999998000,0
283,566,567,123,9,50000000000,0
284,568,569,123,4,50000000000,0
285,570,571,123,42,50000000000,0
286,572,573,123,109,49999999000,0
287,574,575,123,111,49999998000,0
288,576,577,123,107,49999999000,0
289,578,579,123,113,49999999000,0
290,580,581,124,46,49999999000,0
291,582,583,124,33,49999999000,0
292,584,585,124,8,50000000000,0
293,586,587,124,43,49999999000,0
294,588,589,124,21,49999999000,0
295,590,591,124,4,49999998000,0
296,592,593,124,123,50000001000,0
297,594,595,124,100,50000000000,0
298,596,597,124,102,49999999000,0
299,598,599,124,122,49999998000,0
300,600,601,125,104,49999997000,0
301,602,603,125,108,49999998000,0
302,604,605,125,31,49999999000,0
303,606,607,125,109,49999999000,0
304,608,609,125,122,49999999000,0
305,610,611,125,32,49999999000,0
306,612,613,125,36,50000002000,0
307,614,615,125,42,50000000000,0
308,616,617,125,111,50000002000,0
309,618,619,125,102,49999999000,0
310,620,621,126,117,50000000000,0
311,622,623,126,123,50000000000,0
312,624,625,126,118,50000001000,0
313,626,627,126,2,49999999000,0
314,628,629,126,105,50000000000,0
315,630,631,126,24,50000000000,0
316,632,633,126,32,49999998000,0
317,634,635,126,111,49999998000,0
318,636,637,126,36,50000000000,0
319,638,639,126,110,50000000000,0
320,640,641,127,116,50000001000,0
321,642,643,127,126,49999998000,0
322,644,645,127,113,50000001000,0
323,646,647,127,114,50000000000,0
324,648,649,127,104,49999999000,0
325,650,651,127,100,49999999000,0
326,652,653,127,106,50000001000,0
327,654,655,127,105,50000000000,0
328,656,657,127,113,49999999000,0
329,658,659,127,123,50000001000,0
330,660,661,128,117,50000000000,0
331,662,663,128,2,50000000000,0
332,664,665,128,43,50000000000,0
333,666,667,128,105,50000001000,0
334,668,669,128,4,49999998000,0
335,670,671,128,124,49999998000,0
336,672,673,128,111,50000001000,0
337,674,675,128,112,50000000000,0
338,676,677,128,28,49999999000,0
339,678,679,128,2,49999998000,0
340,680,681,129,43,50000000000,0
341,682,683,129,32,50000000000,0
342,684,685,129,8,49999999000,0
343,686,687,129,114,50000000000,0
344,688,689,129,112,50000001000,0
345,690,691,129,121,50000000000,0
346,692,693,129,30,50000000000,0
347,694,695,129,124,49999998000,0
348,696,697,129,8,50000001000,0
349,698,699,129,10,50000001000,0
350,700,701,130,111,50000000000,0
351,702,703,130,9,50000000000,0
352,704,705,130,101,49999998000,0
353,706,707,130,4,49999999000,0
354,708,709,130,126,49999999000,0
355,710,711,130,31,49999999000,0
356,712,713,130,107,49999999000,0
357,714,715,130,8,49999998000,0
358,716,717,130,22,49999998000,0
359,718,719,130,40,49999999000,0
360,720,721,131,108,50000001000,0
361,722,723,131,15,50000000000,0
362,724,725,131,30,49999999000,0
363,726,727,131,34,49999998000,0
364,728,729,131,21,49999998000,0
365,730,731,131,115,50000000000,0
366,732,733,131,105,49999998000,0
367,734,735,131,33,50000000000,0
368,736,737,131,101,50000001000,0
369,738,739,131,21,50000000000,0
370,740,741,132,116,49999999000,0
371,742,743,132,131,50000001000,0
372,744,745,132,103,50000000000,0
373,746,747,132,25,49999999000,0
374,748,749,132,2,49999998000,0
375,750,751,132,130,49999998000,0
376,752,753,132,24,49999999000,0
377,754,755,132,12,50000000000,0
378,756,757,132,103,49999998000,0
379,758,759,132,121,49999997000,0
380,760,761,133,100,50000000000,0
381,762,763,133,24,50000001000,0
382,764,765,133,101,50000000000,0
383,766,767,133,40,50000003000,0
384,768,769,133,33,50000000000,0
385,770,771,133,6,50000000000,0
386,772,773,133,32,50000000000,0
387,774,775,133,110,50000000000,0
388,776,777,133,108,49999999000,0
389,778,779,133,103,50000000000,0
390,780,781,134,1,50000000000,0
391,782,783,134,28,49999999000,0
392,784,785,134,40,50000001000,0
393,786,787,134,1,49999997000,0
394,788,789,134,43,49999999000,0
395,790,791,134,111,49999999000,0
396,792,793,134,133,49999999000,0
397,794,795,134,112,50000000000,0
398,796,797,134,123,50000002000,0
399,798,799,134,1,50000001000,0
400,800,801,135,124,49999998000,0
401,802,803,135,119,50000000000,0
402,804,805,135,120,49999999000,0
403,806,807,135,110,50000001000,0
404,808,809,135,111,49999999000,0
405,810,811,135,34,49999999000,0
406,812,813,135,39,49999998000,0
407,814,815,135,103,49999998000,0
408,816,817,135,32,49999999000,0
409,818,819,135,34,50000000000,0
410,820,821,136,6,50000000000,0
411,822,823,136,117,50000001000,0
412,824,825,136,104,50000000000,0
413,826,827,136,112,50000001000,0
414,828,829,136,3,50000000000,0
415,830,831,136,106,50000000000,0
416,832,833,136,3,49999999000,0
417,834,835,136,120,49999998000,0
418,836,837,136,116,49999999000,0
419,838,839,136,6,49999999000,0
420,840,841,137,10,50000000000,0
421,842,843,137,10,49999999000,0
422,844,845,137,39,49999998000,0
423,846,847,137,105,50000000000,0
424,848,849,137,10,50000001000,0
425,850,851,137,130,49999999000,0
426,852,853,137,8,50000000000,0
427,854,855,137,102,50000000000,0
428,856,857,137,118,49999999000,0
429,858,859,137,33,49999999000,0
430,860,861,138,107,50000000000,0
431,862,863,138,21,50000000000,0
432,864,865,138,126,49999999000,0
433,866,867,138,102,50000000000,0
434,868,869,138,31,49999998000,0
435,870,871,138,13,50000001000,0
436,872,873,138,107,50000002000,0
437,874,875,138,108,50000001000,0
438,876,877,138,102,50000002000,0
439,878,879,138,100,50000000000,0
440,880,881,139,8,49999998000,0
441,882,883,139,131,49999999000,0
442,884,885,139,20,50000002000,0
443,886,887,139,10,49999999000,0
444,888,889,139,133,49999999000,0
445,890,891,139,132,50000001000,0
446,892,893,139,114,49999999000,0
447,894,895,139,25,50000000000,0
448,896,897,139,132,50000000000,0
449,898,899,139,6,50000001000,0
450,900,901,140,112,50000001000,0
451,902,903,140,129,49999999000,0
452,904,905,140,111,49999999000,0
453,906,907,140,36,50000000000,0
454,908,909,140,109,50000000000,0
455,910,911,140,103,50000000000,0
456,912,913,140,108,50000000000,0
457,914,915,140,6,50000000000,0
458,916,917,140,42,50000000000,0
459,918,919,140,132,49999999000,0
460,920,921,141,117,50000001000,0
461,922,923,141,109,50000000000,0
462,924,925,141,109,49999998000,0
463,926,927,141,105,49999998000,0
464,928,929,141,102,50000002000,0
465,930,931,141,2,49999998000,0
466,932,933,141,18,49999999000,0
467,934,935,141,111,50000000000,0
468,936,937,141,24,50000000000,0
469,938,939,141,123,49999998000,0
470,940,941,142,133,49999999000,0
471,942,943,142,137,50000000000,0
472,944,945,142,25,49999998000,0
473,946,947,142,18,49999999000,0
474,948,949,142,136,49999999000,0
475,950,951,142,109,50000000000,0
476,952,953,142,103,49999998000,0
477,954,955,142,126,49999999000,0
478,956,957,142,139,50000000000,0
479,958,959,142,31,49999999000,0
480,960,961,143,132,49999999000,0
481,962,963,143,127,50000000000,0
482,964,965,143,109,50000000000,0
483,966,967,143,101,49999999000,0
484,968,969,143,32,49999999000,0
485,970,971,143,1,50000000000,0
486,972,973,143,27,49999999000,0
487,974,975,143,130,50000000000,0
488,976,977,143,122,49999998000,0
489,978,979,143,46,50000000000,0
490,980,981,144,32,49999999000,0
491,982,983,144,34,50000000000,0
492,984,985,144,126,50000000000,0
493,986,987,144,31,49999999000,0
494,988,989,144,112,50000000000,0
495,990,991,144,116,49999998000,0
496,992,993,144,1,50000001000,0
497,994,995,144,123,50000001000,0
498,996,997,144,15,50000000000,0
499,998,999,144,111,49999999000,0
500,1000,1001,145,106,49999998000,0
501,1002,1003,145,108,49999999000,0
502,1004,1005,145,101,50000000000,0
503,1006,1007,145,107,49999999000,0
504,1008,1009,145,39,49999999000,0
505,1010,1011,145,138,50000000000,0
506,1012,1013,145,100,49999998000,0
507,1014,1015,145,141,49999999000,0
508,1016,1017,145,122,50000001000,0
509,1018,1019,145,121,49999999000,0
510,1020,1021,146,1,49999999000,0
511,1022,1023,146,140,49999999000,0
512,1024,1025,146,109,49999999000,0
513,1026,1027,146,106,49999999000,0
514,1028,1029,146,128,49999999000,0
515,1030,1031,146,117,50000001000,0
516,1032,1033,146,110,50000000000,0
517,1034,1035,146,6,50000000000,0
518,1036,1037,146,144,50000000000,0
519,1038,1039,146,34,49999999000,0
520,1040,1041,147,6,49999999000,0
521,1042,1043,147,31,49999998000,0
522,1044,1045,147,141,50000000000,0
523,1046,1047,147,33,49999999000,0
524,1048,1049,147,119,50000000000,0
525,1050,1051,147,6,49999999000,0
526,1052,1053,147,105,49999999000,0
527,1054,1055,147,114,50000000000,0
528,1056,1057,147,136,50000000000,0
529,1058,1059,147,32,50000000000,0
530,1060,1061,148,107,50000000000,0
531,1062,1063,148,127,50000000000,0
532,1064,1065,148,114,49999999000,0
533,1066,1067,148,110,50000000000,0
534,1068,1069,148,136,50000000000,0
535,1070,1071,148,21,49999999000,0
536,1072,1073,148,112,50000001000,0
537,1074,1075,148,43,50000000000,0
538,1076,1077,148,42,50000000000,0
539,1078,1079,148,115,49999999000,0
540,1080,1081,149,33,50000001000,0
541,1082,1083,149,104,49999999000,0
542,1084,1085,149,117,50000000000,0
543,1086,1087,149,4,49999998000,0
544,1088,1089,149,19,50000001000,0
545,1090,1091,149,108,49999999000,0
546,1092,1093,149,1,49999999000,0
547,1094,1095,149,114,50000000000,0
548,1096,1097,149,45,49999998000,0
549,1098,1099,149,103,50000000000,0
550,1100,1101,150,8,50000001000,0
551,1102,1103,150,117,50000001000,0
552,1104,1105,150,33,50000000000,0
553,1106,1107,150,108,49999999000,0
554,1108,1109,150,140,49999998000,0
555,1110,1111,150,102,49999999000,0
556,1112,1113,150,13,49999999000,0
557,1114,1115,150,121,49999998000,0
558,1116,1117,150,103,49999999000,0
559,1118,1119,150,107,50000000000,0
560,1120,1121,151,15,49999999000,0
561,1122,1123,151,121,49999999000,0
562,1124,1125,151,8,50000001000,0
563,1126,1127,151,101,49999998000,0
564,1128,1129,151,36,50000000000,0
565,1130,1131,151,144,49999999000,0
566,1132,1133,151,131,49999999000,0
567,1134,1135,151,8,49999999000,0
568,1136,1137,151,148,50000000000,0
569,1138,1139,151,40,50000000000,0
570,1140,1141,152,120,49999999000,0
571,1142,1143,152,107,50000000000,0
572,1144,1145,152,2,50000000000,0
573,1146,1147,152,100,50000001000,0
574,1148,1149,152,124,49999999000,0
575,1150,1151,152,112,49999999000,0
576,1152,1153,152,147,49999999000,0
577,1154,1155,152,102,50000001000,0
578,1156,1157,152,34,49999999000,0
579,1158,1159,152,110,49999998000,0
580,1160,1161,153,104,49999998000,0
581,1162,1163,153,105,49999999000,0
582,1164,1165,153,103,50000002000,0
583,1166,1167,153,100,49999998000,0
584,1168,1169,153,126,50000000000,0
585,1170,1171,153,148,49999998000,0
586,1172,1173,153,0,49999999000,0
587,1174,1175,153,103,50000000000,0
588,1176,1177,153,8,49999998000,0
589,1178,1179,153,118,50000002000,0
590,1180,1181,154,32,50000000000,0
591,1182,1183,154,131,49999998000,0
592,1184,1185,154,130,49999999000,0
593,1186,1187,154,2,49999999000,0
594,1188,1189,154,45,50000002000,0
595,1190,1191,154,103,50000000000,0
596,1192,1193,154,6,49999998000,0
597,1194,1195,154,8,50000000000,0
598,1196,1197,154,32,49999999000,0
599,1198,1199,154,36,49999999000,0
600,1200,1201,155,8,50000000000,0
601,1202,1203,155,134,49999999000,0
602,1204,1205,155,151,50000001000,0
603,1206,1207,155,7,49999997000,0
604,1208,1209,155,109,49999998000,0
605,1210,1211,155,4,50000000000,0
606,1212,1213,155,111,50000000000,0
607,1214,1215,155,34,50000000000,0
608,1216,1217,155,43,50000000000,0
609,1218,1219,155,9,49999998000,0
610,1220,1221,156,6,49999999000,0
611,1222,1223,156,4,50000000000,0
612,1224,1225,156,105,49999998000,0
613,1226,1227,156,106,49999999000,0
614,1228,1229,156,42,49999999000,0
615,1230,1231,156,100,49999999000,0
616,1232,1233,156,100,50000001000,0
617,1234,1235,156,42,49999999000,0
618,1236,1237,156,25,50000001000,0
619,1238,1239,156,6,50000000000,0
620,1240,1241,157,106,49999999000,0
621,1242,1243,157,123,50000001000,0
622,1244,1245,157,40,50000000000,0
623,1246,1247,157,25,50000000000,0
624,1248,1249,157,102,50000001000,0
625,1250,1251,157,146,49999999000,0
626,1252,1253,157,3,50000002000,0
627,1254,1255,157,128,50000000000,0
628,1256,1257,157,25,50000001000,0
629,1258,1259,157,152,50000000000,0
630,1260,1261,158,8,49999999000,0
631,1262,1263,158,4,49999999000,0
632,1264,1265,158,133,50000001000,0
633,1266,1267,158,108,50000001000,0
634,1268,1269,158,32,49999998000,0
635,1270,1271,158,140,50000001000,0
636,1272,1273,158,116,49999998000,0
637,1274,1275,158,10,50000000000,0
638,1276,1277,158,6,49999998000,0
639,1278,1279,158,36,49999999000,0
640,1280,1281,159,117,50000001000,0
641,1282,1283,159,40,49999999000,0
642,1284,1285,159,25,50000001000,0
643,1286,1287,159,110,49999999000,0
644,1288,1289,159,121,49999999000,0
645,1290,1291,159,128,50000000000,0
646,1292,1293,159,121,50000000000,0
647,1294,1295,159,21,50000001000,0
648,1296,1297,159,147,50000000000,0
649,1298,1299,159,100,49999998000,0
650,1300,1301,160,147,50000000000,0
651,1302,1303,160,111,49999999000,0
652,1304,1305,160,31,50000000000,0
653,1306,1307,160,106,49999999000,0
654,1308,1309,160,123,49999998000,0
655,1310,1311,160,1,49999999000,0
656,1312,1313,160,105,49999998000,0
657,1314,1315,160,159,49999998000,0
658,1316,1317,160,100,49999999000,0
659,1318,1319,160,156,49999999000,0
660,1320,1321,161,139,49999999000,0
661,1322,1323,161,120,50000001000,0
662,1324,1325,161,125,49999999000,0
663,1326,1327,161,120,49999998000,0
664,1328,1329,161,110,50000000000,0
665,1330,1331,161,101,50000000000,0
666,1332,1333,161,124,49999999000,0
667,1334,1335,161,110,50000000000,0
668,1336,1337,161,142,49999999000,0
669,1338,1339,161,116,50000001000,0
670,1340,1341,162,148,50000000000,0
671,1342,1343,162,34,49999998000,0
672,1344,1345,162,10,50000001000,0
673,1346,1347,162,32,49999999000,0
674,1348,1349,162,4,50000002000,0
675,1350,1351,162,22,49999999000,0
676,1352,1353,162,111,49999999000,0
677,1354,1355,162,115,50000000000,0
678,1356,1357,162,109,50000002000,0
679,1358,1359,162,19,50000001000,0
680,1360,1361,163,25,50000001000,0
681,1362,1363,163,31,49999997000,0
682,1364,1365,163,139,50000000000,0
683,1366,1367,163,124,50000001000,0
684,1368,1369,163,152,50000001000,0
685,1370,1371,163,6,50000000000,0
686,1372,1373,163,112,50000000000,0
687,1374,1375,163,111,49999999000,0
688,1376,1377,163,2,49999999000,0
689,1378,1379,163,151,49999999000,0
690,1380,1381,164,120,49999999000,0
691,1382,1383,164,4,49999998000,0
692,1384,1385,164,105,49999999000,0
693,1386,1387,164,101,50000000000,0
694,1388,1389,164,40,50000000000,0
695,1390,1391,164,24,50000000000,0
696,1392,1393,164,147,50000001000,0
697,1394,1395,164,138,50000000000,0
698,1396,1397,164,112,50000000000,0
699,1398,1399,164,141,50000000000,0
700,1400,1401,165,42,49999999000,0
701,1402,1403,165,43,50000000000,0
702,1404,1405,165,6,50000000000,0
703,1406,1407,165,33,50000000000,0
704,1408,1409,165,6,49999999000,0
705,1410,1411,165,134,50000000000,0
706,1412,1413,165,110,49999999000,0
707,1414,1415,165,1,49999999000,0
708,1416,1417,165,105,49999999000,0
709,1418,1419,165,18,49999999000,0
710,1420,1421,166,123,50000000000,0
711,1422,1423,166,147,50000000000,0
712,1424,1425,166,107,49999999000,0
713,1426,1427,166,10,50000000000,0
714,1428,1429,166,2,49999999000,0
715,1430,1431,166,159,50000000000,0
716,1432,1433,166,120,49999999000,0
717,1434,1435,166,100,49999999000,0
718,1436,1437,166,134,49999999000,0
719,1438,1439,166,129,50000000000,0
720,1440,1441,167,39,49999999000,0
721,1442,1443,167,107,50000000000,0
722,1444,1445,167,114,50000002000,0
723,1446,1447,167,6,49999999000,0
724,1448,1449,167,162,49999999000,0
725,1450,1451,167,143,50000001000,0
726,1452,1453,167,105,50000000000,0
727,1454,1455,167,6,49999998000,0
728,1456,1457,167,114,50000000000,0
729,1458,1459,167,102,50000001000,0
730,1460,1461,168,14,50000000000,0
731,1462,1463,168,131,50000000000,0
732,1464,1465,168,31,50000000000,0
733,1466,1467,168,120,49999999000,0
734,1468,1469,168,144,50000001000,0
735,1470,1471,168,8,49999999000,0
736,1472,1473,168,166,49999999000,0
737,1474,1475,168,104,50000000000,0
738,1476,1477,168,121,50000001000,0
739,1478,1479,168,21,49999999000,0
740,1480,1481,169,160,50000001000,0
741,1482,1483,169,121,50000000000,0
742,1484,1485,169,101,49999999000,0
743,1486,1487,169,107,49999999000,0
744,1488,1489,169,36,50000001000,0
745,1490,1491,169,40,49999999000,0
746,1492,1493,169,120,49999998000,0
747,1494,1495,169,116,50000000000,0
748,1496,1497,169,131,50000000000,0
749,1498,1499,169,118,50000000000,0
750,1500,1501,170,43,49999999000,0
751,1502,1503,170,124,49999999000,0
752,1504,1505,170,150,49999998000,0
753,1506,1507,170,124,49999998000,0
754,1508,1509,170,32,49999999000,0
755,1510,1511,170,152,50000001000,0
756,1512,1513,170,45,49999999000,0
757,1514,1515,170,101,50000002000,0
758,1516,1517,170,164,49999998000,0
759,1518,1519,170,124,49999998000,0
760,1520,1521,171,4,50000001000,0
761,1522,1523,171,105,49999998000,0
762,1524,1525,171,129,50000000000,0
763,1526,1527,171,165,49999999000,0
764,1528,1529,171,146,49999999000,0
765,1530,1531,171,25,49999999000,0
766,1532,1533,171,122,50000000000,0
767,1534,1535,171,126,49999999000,0
768,1536,1537,171,144,50000002000,0
769,1538,1539,171,8,50000000000,0
770,1540,1541,172,124,49999999000,0
771,1542,1543,172,140,49999999000,0
772,1544,1545,172,107,49999999000,0
773,1546,1547,172,102,50000000000,0
774,1548,1549,172,113,49999997000,0
775,1550,1551,172,170,49999999000,0
776,1552,1553,172,109,49999999000,0
777,1554,1555,172,13,50000002000,0
778,1556,1557,172,154,49999999000,0
779,1558,1559,172,135,50000000000,0
780,1560,1561,173,123,50000000000,0
781,1562,1563,173,131,49999999000,0
782,1564,1565,173,32,50000000000,0
783,1566,1567,173,113,50000000000,0
784,1568,1569,173,121,50000000000,0
785,1570,1571,173,162,49999999000,0
