id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock
152,76,153,102,40,25000000000,3625,6,0,11
153,76,152,40,102,25000000000,3941,1,0,64
154,77,155,102,22,25000000000,2834,6,10,20
155,77,154,22,102,25000000000,1111,9,0,77
156,78,157,102,40,25000000000,4344,5,0,98
157,78,156,40,102,25000001000,3341,5,0,70
158,79,159,102,6,25000000000,4618,9,0,13
159,79,158,6,102,25000001000,4095,1,0,21
160,80,161,103,10,25000000000,1424,1,0,35
161,80,160,10,103,25000000000,4104,9,1000,90
162,81,163,103,6,25000000000,1582,1,0,24
163,81,162,6,103,25000000000,1750,8,0,66
164,82,165,103,101,25000000000,4444,7,0,77
165,82,164,101,103,25000000000,2058,9,10,99
166,83,167,103,10,25000000000,1693,5,0,20
167,83,166,10,103,25000000000,4250,8,0,23
168,84,169,103,25,25000000000,3342,3,0,35
169,84,168,25,103,25000001000,4966,3,100,81
170,85,171,103,6,25000000000,4643,2,0,42
171,85,170,6,103,25000001000,2734,1,0,56
172,86,173,103,102,25000000000,2937,9,0,68
173,86,172,102,103,25000001000,1575,5,10,37
174,87,175,103,101,25000000000,3760,3,0,50
175,87,174,101,103,25000000000,3513,5,10,36
176,88,177,103,1,25000000000,1817,3,100,83
177,88,176,1,103,25000000000,4355,9,10,57
178,89,179,103,15,24999999000,4727,8,0,94
179,89,178,15,103,25000000000,4377,4,0,92
180,90,181,104,2,24999999000,2425,3,0,23
181,90,180,2,104,24999999000,4425,6,10,19
182,91,183,104,103,24999999000,1740,4,0,73
183,91,182,103,104,25000000000,1961,8,0,61
184,92,185,104,36,24999999000,2101,3,0,14
185,92,184,36,104,25000000000,1554,5,100,80
186,93,187,104,18,25000000000,3282,9,0,99
187,93,186,18,104,25000000000,4267,5,0,63
188,94,189,104,100,25000000000,4056,6,0,66
189,94,188,100,104,25000000000,3844,1,0,27
190,95,191,104,7,25000000000,2501,3,0,97
191,95,190,7,104,25000001000,1671,9,10,97
192,96,193,104,100,25000000000,1664,6,0,66
193,96,192,100,104,25000000000,1225,5,0,39
194,97,195,104,100,25000000000,2968,2,0,75
195,97,194,100,104,25000001000,2874,4,0,51
196,98,197,104,14,25000000000,2252,3,0,99
197,98,196,14,104,25000000000,1663,2,10,51
198,99,199,104,24,24999999000,4019,3,0,51
199,99,198,24,104,25000000000,1499,2,0,38
200,100,201,105,8,25000000000,4484,7,0,41
201,100,200,8,105,25000001000,2587,1,100,87
202,101,203,105,104,24999999000,1050,9,0,70
203,101,202,104,105,25000000000,3747,7,0,50
204,102,205,105,104,25000000000,4230,1,0,19
205,102,204,104,105,25000000000,2342,8,0,60
206,103,207,105,25,24999999000,3694,8,0,62
207,103,206,25,105,25000000000,2096,4,0,60
208,104,209,105,39,24999998000,1990,8,0,10
209,104,208,39,105,24999999000,1987,7,10,32
210,105,211,105,25,24999999000,2710,5,10,82
211,105,210,25,105,25000000000,2414,1,0,29
212,106,213,105,101,24999999000,4905,7,0,15
213,106,212,101,105,24999999000,1652,2,0,26
214,107,215,105,10,24999999000,1570,5,0,43
215,107,214,10,105,25000000000,1106,2,0,19
216,108,217,105,39,25000000000,3760,1,0,25
217,108,216,39,105,25000001000,3743,2,0,64
218,109,219,105,32,25000000000,3215,1,0,37
219,109,218,32,105,25000000000,4339,5,0,49
220,110,221,106,105,25000000000,1113,5,0,16
221,110,220,105,106,25000000000,2503,9,0,79
222,111,223,106,43,25000000000,2616,5,10,23
223,111,222,43,106,25000001000,3917,4,0,26
224,112,225,106,40,25000000000,4612,2,0,89
225,112,224,40,106,25000001000,4251,7,0,96
226,113,227,106,31,25000000000,2181,1,10,75
227,113,226,31,106,25000000000,4781,1,0,48
228,114,229,106,102,24999999000,4163,8,0,77
229,114,228,102,106,25000000000,2863,4,10,17
230,115,231,106,21,25000000000,3122,5,0,54
231,115,230,21,106,25000001000,1528,2,0,28
232,116,233,106,8,25000000000,3274,3,10,64
233,116,232,8,106,25000000000,4601,1,1000,90
234,117,235,106,32,25000000000,4942,8,0,25
235,117,234,32,106,25000000000,3289,7,0,14
236,118,237,106,102,25000001000,3336,7,0,44
237,118,236,102,106,25000001000,2045,5,0,50
238,119,239,106,24,25000000000,3891,8,10,25
239,119,238,24,106,25000000000,4447,9,0,11
240,120,241,107,105,25000000000,3818,4,1000,68
241,120,240,105,107,25000000000,1835,7,0,77
242,121,243,107,103,24999999000,1015,1,10,94
243,121,242,103,107,25000000000,4431,3,0,75
244,122,245,107,22,25000000000,1130,8,10,78
245,122,244,22,107,25000001000,2693,7,1000,25
246,123,247,107,101,25000000000,2607,3,0,72
247,123,246,101,107,25000001000,1012,7,10,79
248,124,249,107,105,24999999000,3107,2,0,18
249,124,248,105,107,25000000000,2425,3,0,91
250,125,251,107,19,24999999000,2146,2,0,22
251,125,250,19,107,24999999000,2160,6,0,65
252,126,253,107,34,24999999000,2856,4,0,16
253,126,252,34,107,25000000000,3375,4,10,63
254,127,255,107,4,24999999000,1885,3,0,52
255,127,254,4,107,24999999000,2259,4,0,66
256,128,257,107,105,24999999000,2800,8,0,51
257,128,256,105,107,24999999000,1413,6,0,95
258,129,259,107,13,24999999000,4637,2,0,64
259,129,258,13,107,24999999000,4067,9,0,55
260,130,261,108,21,25000000000,2928,1,0,70
261,130,260,21,108,25000001000,4251,9,100,92
262,131,263,108,9,24999999000,4391,7,0,32
263,131,262,9,108,25000000000,3802,6,0,58
264,132,265,108,101,25000000000,3813,8,0,26
265,132,264,101,108,25000000000,3477,9,0,60
266,133,267,108,4,24999999000,4784,8,0,10
267,133,266,4,108,25000000000,4290,1,10,87
268,134,269,108,8,24999999000,4438,8,0,65
269,134,268,8,108,24999999000,3129,2,0,85
270,135,271,108,102,24999999000,2966,3,0,87
271,135,270,102,108,25000000000,2674,6,0,71
272,136,273,108,6,25000000000,3145,2,0,90
273,136,272,6,108,25000000000,4757,3,0,29
274,137,275,108,32,24999999000,3257,1,0,81
275,137,274,32,108,25000000000,3028,2,0,81
276,138,277,108,101,24999999000,1580,6,0,68
277,138,276,101,108,25000000000,1574,3,0,37
278,139,279,108,103,25000000000,1965,8,100,46
279,139,278,103,108,25000000000,4900,1,0,38
280,140,281,109,107,25000000000,3099,4,0,35
281,140,280,107,109,25000001000,2048,6,10,51
282,141,283,109,43,25000000000,2731,1,0,42
283,141,282,43,109,25000000000,2321,1,0,72
284,142,285,109,29,25000000000,3367,3,100,17
285,142,284,29,109,25000000000,4444,5,0,16
286,143,287,109,6,25000000000,1737,9,0,62
287,143,286,6,109,25000000000,4592,5,0,50
288,144,289,109,100,24999999000,2799,6,0,94
289,144,288,100,109,24999999000,2560,3,0,14
290,145,291,109,3,24999999000,4753,3,100,40
291,145,290,3,109,24999999000,4118,7,0,25
292,146,293,109,37,24999999000,3259,7,0,25
293,146,292,37,109,25000000000,2702,7,10,77
294,147,295,109,3,24999999000,1909,5,100,48
295,147,294,3,109,25000000000,2487,2,0,41
296,148,297,109,6,25000000000,1627,7,0,44
297,148,296,6,109,25000000000,3010,6,0,24
298,149,299,109,32,25000000000,3056,2,1000,88
299,149,298,32,109,25000000000,1735,9,0,51
300,150,301,110,8,24999999000,3772,2,10,69
301,150,300,8,110,25000000000,4311,3,0,86
302,151,303,110,39,25000000000,2706,5,0,64
303,151,302,39,110,25000000000,1581,7,100,55
304,152,305,110,31,25000000000,4444,7,0,83
305,152,304,31,110,25000000000,3884,2,0,15
306,153,307,110,1,25000000000,3580,1,0,23
307,153,306,1,110,25000000000,3556,5,0,60
308,154,309,110,10,24999999000,3603,6,0,15
309,154,308,10,110,25000000000,2220,7,0,54
310,155,311,110,43,24999999000,1258,5,0,99
311,155,310,43,110,25000000000,1211,2,0,27
312,156,313,110,8,24999999000,1405,6,0,62
313,156,312,8,110,25000000000,4630,3,0,67
314,157,315,110,101,24999999000,3673,1,0,44
315,157,314,101,110,25000000000,1752,1,0,77
316,158,317,110,37,24999999000,3183,5,0,54
317,158,316,37,110,25000000000,1350,6,10,11
318,159,319,110,7,25000000000,2529,2,0,52
319,159,318,7,110,25000000000,4917,4,0,42
320,160,321,111,105,25000000000,4683,9,10,70
321,160,320,105,111,25000000000,1913,3,0,49
322,161,323,111,31,24999999000,2505,8,0,99
323,161,322,31,111,25000000000,1233,7,0,56
324,162,325,111,3,25000000000,1009,2,0,32
325,162,324,3,111,25000000000,2321,9,0,19
326,163,327,111,101,25000000000,3833,4,0,79
327,163,326,101,111,25000001000,2979,5,0,57
328,164,329,111,15,24999999000,3955,2,0,51
329,164,328,15,111,24999999000,1285,5,10,40
330,165,331,111,101,25000000000,3110,8,0,46
331,165,330,101,111,25000000000,2075,3,0,16
332,166,333,111,8,24999999000,2596,5,0,49
333,166,332,8,111,25000000000,2548,1,0,30
334,167,335,111,15,24999999000,4108,7,0,22
335,167,334,15,111,25000000000,1332,8,0,45
336,168,337,111,106,24999999000,1756,7,10,40
337,168,336,106,111,25000000000,3434,2,0,72
338,169,339,111,43,24999999000,2524,9,10,69
339,169,338,43,111,24999999000,1283,6,10,23
340,170,341,112,1,24999999000,2668,6,10,78
341,170,340,1,112,25000000000,4450,3,0,56
342,171,343,112,31,25000000000,1158,7,0,16
343,171,342,31,112,25000000000,2896,3,0,41
344,172,345,112,103,24999999000,4173,5,0,52
345,172,344,103,112,25000000000,2027,5,0,18
346,173,347,112,2,24999999000,2095,4,0,39
347,173,346,2,112,25000000000,3190,3,0,29
348,174,349,112,103,24999999000,1902,4,0,42
349,174,348,103,112,25000000000,1567,5,0,80
350,175,351,112,8,24999999000,2135,5,0,57
351,175,350,8,112,25000000000,2357,5,0,59
352,176,353,112,109,24999999000,2708,7,10,94
353,176,352,109,112,25000000000,4870,7,10,12
354,177,355,112,24,24999999000,4050,2,0,52
355,177,354,24,112,25000000000,1843,6,0,13
356,178,357,112,36,24999999000,3033,7,0,88
357,178,356,36,112,25000000000,2004,4,1000,68
358,179,359,112,18,24999998000,1159,8,0,22
359,179,358,18,112,24999999000,1773,6,1000,40
360,180,361,113,1,25000000000,2813,5,0,74
361,180,360,1,113,25000000000,1646,4,0,65
362,181,363,113,112,25000000000,1061,4,10,88
363,181,362,112,113,25000001000,3624,8,10,84
364,182,365,113,107,24999999000,3060,1,10,15
365,182,364,107,113,24999999000,2826,8,0,36
366,183,367,113,32,24999998000,1502,9,100,79
367,183,366,32,113,24999999000,4365,2,10,13
368,184,369,113,31,24999999000,2609,9,0,96
369,184,368,31,113,24999999000,4908,6,0,94
370,185,371,113,104,24999999000,4591,4,0,49
371,185,370,104,113,25000000000,1943,8,0,94
372,186,373,113,104,24999999000,3020,8,0,70
373,186,372,104,113,25000000000,3438,6,0,54
374,187,375,113,1,24999999000,3401,3,0,83
375,187,374,1,113,25000000000,1216,5,1000,21
376,188,377,113,111,25000000000,3797,5,0,85
377,188,376,111,113,25000001000,3117,3,0,95
378,189,379,113,6,25000000000,1257,5,0,90
379,189,378,6,113,25000001000,1813,3,0,84
380,190,381,114,43,24999999000,1287,6,100,45
381,190,380,43,114,25000000000,1231,6,0,56
382,191,383,114,21,25000000000,4535,4,10,61
383,191,382,21,114,25000000000,1460,6,0,30
384,192,385,114,101,24999999000,4581,2,0,44
385,192,384,101,114,25000000000,2886,8,0,86
386,193,387,114,113,25000000000,3382,4,0,63
387,193,386,113,114,25000001000,3462,5,10,15
388,194,389,114,107,25000001000,2055,2,1000,68
389,194,388,107,114,25000001000,3643,1,10,49
390,195,391,114,21,25000000000,4420,9,0,64
391,195,390,21,114,25000001000,4290,7,10,89
392,196,393,114,36,25000000000,1222,4,0,57
393,196,392,36,114,25000000000,4750,6,0,97
394,197,395,114,4,25000000000,4153,6,0,11
395,197,394,4,114,25000000000,2213,8,0,11
396,198,397,114,112,25000001000,1210,3,0,59
397,198,396,112,114,25000001000,1808,5,0,86
398,199,399,114,106,25000000000,2056,5,0,37
399,199,398,106,114,25000000000,2486,8,0,32
400,200,401,115,102,25000000000,4435,7,0,50
401,200,400,102,115,25000000000,1515,7,0,37
402,201,403,115,32,25000000000,2782,6,10,70
403,201,402,32,115,25000001000,2794,4,0,73
404,202,405,115,105,25000000000,3430,6,0,28
405,202,404,105,115,25000001000,4970,7,1000,22
406,203,407,115,107,25000000000,1935,8,0,25
407,203,406,107,115,25000000000,2564,7,100,38
408,204,409,115,112,25000000000,2290,7,10,52
409,204,408,112,115,25000001000,1104,1,0,48
410,205,411,115,110,25000000000,1775,9,10,83
411,205,410,110,115,25000001000,3398,7,0,71
412,206,413,115,40,24999999000,2198,5,0,58
413,206,412,40,115,25000000000,2360,1,0,53
414,207,415,115,114,25000000000,2321,5,0,85
415,207,414,114,115,25000000000,2713,7,1000,87
416,208,417,115,104,25000001000,4302,2,100,45
417,208,416,104,115,25000001000,4714,9,10,14
418,209,419,115,40,25000000000,3732,5,0,90
419,209,418,40,115,25000001000,1302,5,0,89
420,210,421,116,22,25000000000,2710,7,10,21
421,210,420,22,116,25000000000,2898,2,0,17
422,211,423,116,103,25000000000,3512,4,0,96
423,211,422,103,116,25000000000,3359,8,0,27
424,212,425,116,24,24999999000,4435,9,10,81
425,212,424,24,116,25000000000,3446,9,100,86
426,213,427,116,112,24999999000,2481,8,0,21
427,213,426,112,116,25000000000,3538,5,10,47
428,214,429,116,113,24999999000,1420,5,0,18
429,214,428,113,116,25000000000,2747,8,0,19
430,215,431,116,102,24999999000,2047,1,0,91
431,215,430,102,116,24999999000,1089,7,0,83
432,216,433,116,15,25000000000,4869,4,0,28
433,216,432,15,116,25000001000,3019,2,0,34
434,217,435,116,114,24999999000,3333,1,0,37
435,217,434,114,116,25000000000,1003,1,10,30
436,218,437,116,3,24999999000,3821,9,0,21
437,218,436,3,116,24999999000,4123,7,0,33
438,219,439,116,14,24999999000,2453,3,10,34
439,219,438,14,116,25000000000,4698,9,1000,44
440,220,441,117,100,24999998000,2591,3,0,27
441,220,440,100,117,24999999000,2800,2,0,20
442,221,443,117,4,25000000000,3976,7,0,63
443,221,442,4,117,25000000000,1971,4,0,66
444,222,445,117,105,24999999000,3203,1,0,36
445,222,444,105,117,25000000000,4925,5,1000,48
446,223,447,117,107,25000000000,3365,9,0,48
447,223,446,107,117,25000000000,2528,1,0,21
448,224,449,117,6,24999999000,1002,3,0,60
449,224,448,6,117,25000000000,1535,6,0,36
450,225,451,117,113,25000000000,3012,1,0,30
451,225,450,113,117,25000000000,1699,1,10,26
452,226,453,117,116,24999999000,2516,8,100,47
453,226,452,116,117,24999999000,3476,8,0,67
454,227,455,117,42,25000000000,4149,3,0,19
455,227,454,42,117,25000000000,3148,2,10,42
456,228,457,117,104,25000000000,1997,4,10,26
457,228,456,104,117,25000000000,4796,8,0,95
458,229,459,117,2,25000000000,3755,3,0,46
459,229,458,2,117,25000001000,1544,3,0,50
460,230,461,118,39,25000000000,3061,7,0,35
461,230,460,39,118,25000000000,2673,7,100,55
462,231,463,118,102,24999999000,4722,7,0,87
463,231,462,102,118,25000000000,1669,7,0,33
464,232,465,118,6,24999999000,3630,6,0,50
465,232,464,6,118,24999999000,4076,2,100,97
466,233,467,118,36,25000000000,3151,5,0,40
467,233,466,36,118,25000001000,3223,3,0,58
468,234,469,118,46,25000000000,3512,7,0,51
469,234,468,46,118,25000001000,1625,6,10,14
470,235,471,118,101,25000000000,4742,7,0,63
471,235,470,101,118,25000001000,4918,6,0,49
472,236,473,118,111,25000000000,1110,5,0,25
473,236,472,111,118,25000000000,4899,3,100,33
474,237,475,118,2,25000000000,1212,5,1000,59
475,237,474,2,118,25000000000,4203,4,1000,68
476,238,477,118,108,24999999000,3023,9,1000,38
477,238,476,108,118,25000000000,4651,6,0,48
478,239,479,118,112,25000000000,4890,7,0,99
479,239,478,112,118,25000000000,1558,3,0,16
480,240,481,119,6,24999999000,1466,9,0,29
481,240,480,6,119,25000000000,1865,8,0,44
482,241,483,119,109,24999999000,2386,3,0,41
483,241,482,109,119,24999999000,2015,1,0,91
484,242,485,119,111,24999999000,1138,3,0,71
485,242,484,111,119,25000000000,3790,8,1000,87
486,243,487,119,32,24999999000,4186,8,0,39
487,243,486,32,119,25000000000,2231,1,0,93
488,244,489,119,116,25000000000,2925,9,0,45
489,244,488,116,119,25000000000,4547,5,10,50
490,245,491,119,36,25000000000,2822,3,0,64
491,245,490,36,119,25000000000,4961,5,0,79
492,246,493,119,36,24999999000,4979,2,100,29
493,246,492,36,119,25000000000,4098,4,0,91
494,247,495,119,25,25000000000,1711,4,0,87
495,247,494,25,119,25000000000,4829,8,0,96
496,248,497,119,4,24999999000,2172,1,10,91
497,248,496,4,119,25000000000,2470,1,10,46
498,249,499,119,17,25000000000,4814,6,0,52
499,249,498,17,119,25000000000,2112,6,0,55
500,250,501,120,107,25000000000,2754,8,0,82
501,250,500,107,120,25000001000,1062,9,10,83
502,251,503,120,112,24999998000,1406,9,0,30
503,251,502,112,120,24999999000,4885,5,10,35
504,252,505,120,107,25000000000,3171,9,0,72
505,252,504,107,120,25000000000,4069,8,0,43
506,253,507,120,43,25000000000,2380,9,0,24
507,253,506,43,120,25000000000,2777,2,0,17
508,254,509,120,4,24999999000,3370,7,0,79
509,254,508,4,120,25000000000,2677,8,0,87
510,255,511,120,101,24999999000,1137,2,0,56
511,255,510,101,120,25000000000,4452,2,1000,98
512,256,513,120,1,24999999000,2074,3,0,24
513,256,512,1,120,24999999000,4567,1,0,97
514,257,515,120,10,24999999000,3559,6,10,36
515,257,514,10,120,25000000000,2078,4,0,63
516,258,517,120,45,25000000000,2943,5,0,58
517,258,516,45,120,25000000000,1020,4,10,40
518,259,519,120,34,24999999000,4748,2,0,82
519,259,518,34,120,25000000000,4752,8,0,26
520,260,521,121,112,25000000000,3020,3,10,46
521,260,520,112,121,25000000000,4417,5,0,96
522,261,523,121,113,25000001000,1741,4,10,95
523,261,522,113,121,25000001000,2975,6,0,96
524,262,525,121,108,24999999000,3763,9,0,37
525,262,524,108,121,25000000000,1695,6,0,21
526,263,527,121,110,25000000000,1237,9,0,54
527,263,526,110,121,25000000000,2860,2,0,82
528,264,529,121,31,24999999000,4959,3,0,98
529,264,528,31,121,25000000000,3339,9,0,18
530,265,531,121,10,24999999000,1923,6,0,15
531,265,530,10,121,25000000000,1555,6,100,94
532,266,533,121,106,24999999000,3015,9,0,66
533,266,532,106,121,24999999000,2586,4,0,93
534,267,535,121,102,25000000000,1632,8,0,11
535,267,534,102,121,25000000000,2062,7,0,11
536,268,537,121,110,25000000000,1822,3,1000,38
537,268,536,110,121,25000001000,1274,2,0,41
538,269,539,121,116,25000000000,1351,4,10,88
539,269,538,116,121,25000000000,1352,6,0,71
540,270,541,122,3,25000000000,3908,9,0,49
541,270,540,3,122,25000000000,4729,4,0,83
542,271,543,122,24,24999999000,4473,7,0,70
543,271,542,24,122,25000000000,4231,6,10,90
544,272,545,122,100,25000000000,4542,5,0,26
545,272,544,100,122,25000000000,2911,7,100,28
546,273,547,122,6,25000000000,3023,2,0,84
547,273,546,6,122,25000000000,2127,4,0,26
548,274,549,122,118,25000000000,2680,3,0,84
549,274,548,118,122,25000001000,1302,9,0,38
550,275,551,122,4,24999999000,3476,4,0,30
551,275,550,4,122,25000000000,4060,2,0,61
552,276,553,122,111,25000000000,3051,4,0,96
553,276,552,111,122,25000001000,3065,4,0,67
554,277,555,122,104,24999999000,4582,8,10,95
555,277,554,104,122,25000000000,4846,9,0,75
556,278,557,122,32,25000000000,2344,3,10,66
557,278,556,32,122,25000001000,1933,6,0,10
558,279,559,122,116,25000000000,4764,7,0,10
559,279,558,116,122,25000000000,2904,7,0,69
560,280,561,123,103,24999999000,2624,8,10,75
561,280,560,103,123,25000000000,4472,9,0,58
562,281,563,123,122,24999999000,4925,9,0,64
563,281,562,122,123,25000000000,2670,7,10,25
564,282,565,123,110,24999999000,2911,3,0,88
565,282,564,110,123,24999999000,4358,6,0,62
566,283,567,123,9,25000000000,3641,6,0,62
567,283,566,9,123,25000000000,2594,4,0,96
568,284,569,123,4,25000000000,4278,3,100,41
569,284,568,4,123,25000000000,2791,7,0,59
570,285,571,123,42,25000000000,3033,6,10,81
571,285,570,42,123,25000000000,3769,9,0,20
572,286,573,123,109,24999999000,2142,9,0,13
573,286,572,109,123,25000000000,3605,1,0,85
574,287,575,123,111,24999999000,4579,1,100,39
575,287,574,111,123,24999999000,3112,8,0,68
576,288,577,123,107,24999999000,2294,4,0,80
